MSFT,ONE MICROSOFT WAY,REDMOND,98052-6399,WA,789019,BBG000BPH459,usd,,"Microsoft develops and licenses consumer and enterprise software. It is known for its Windows operating systems and Office productivity suite. The company is organized into three equally sized broad segments: productivity and business processes (legacy Microsoft Office, cloud-based Office 365, Exchange, SharePoint, Skype, LinkedIn, Dynamics), intelligence cloud (infrastructure- and platform-as-a-service offerings Azure, Windows Server OS, SQL Server), and more personal computing (Windows Client, Xbox, Bing search, display advertising, and Surface laptops, tablets, and desktops).",https://www.microsoft.com,1986-03-13 00:00:00,2988372842579.22,Microsoft Corp,XNAS,7372,SERVICES-PREPACKAGED SOFTWARE,221000,CS,7430436229
AAPL,ONE APPLE PARK WAY,CUPERTINO,95014,CA,320193,BBG000B9XRY4,usd,,"Apple is among the largest companies in the world, with a broad portfolio of hardware and software products targeted at consumers and businesses. Apple's iPhone makes up a majority of the firm sales, and Apple's other products like Mac, iPad, and Watch are designed around the iPhone as the focal point of an expansive software ecosystem. Apple has progressively worked to add new applications, like streaming video, subscription bundles, and augmented reality. The firm designs its own software and semiconductors while working with subcontractors like Foxconn and TSMC to build its products and chips. Slightly less than half of Apple's sales come directly through its flagship stores, with a majority of sales coming indirectly through partnerships and distribution.",https://www.apple.com,1980-12-12 00:00:00,2815363743920,Apple Inc.,XNAS,3571,ELECTRONIC COMPUTERS,161000,CS,15441881000
NVDA,2788 SAN TOMAS EXPRESSWAY,SANTA CLARA,95051,CA,1045810,BBG000BBJQV0,usd,,"Nvidia is a leading developer of graphics processing units. Traditionally, GPUs were used to enhance the experience on computing platforms, most notably in gaming applications on PCs. GPU use cases have since emerged as important semiconductors used in artificial intelligence. Nvidia not only offers AI GPUs, but also a software platform, Cuda, used for AI model development and training. Nvidia is also expanding its data center networking solutions, helping to tie GPUs together to handle complex workloads.",https://www.nvidia.com,1999-01-22 00:00:00,1666558400000,Nvidia Corp,XNAS,3674,SEMICONDUCTORS & RELATED DEVICES,26196,CS,2470000000
AMZN,410 TERRY AVENUE NORTH,SEATTLE,98109,WA,1018724,BBG000BVPV84,usd,,"Amazon is a leading online retailer and one of the highest-grossing e-commerce aggregators, with $386 billion in net sales and approximately $578 billion in estimated physical/digital online gross merchandise volume in 2021. Retail-related revenue represents approximately 80% of the total, followed by Amazon Web Services' cloud computing, storage, database, and other offerings (10%-15%), advertising services (5%), and other. International segments constitute 25%-30% of Amazon's non-AWS sales, led by Germany, the United Kingdom, and Japan.",https://www.amazon.com,1997-05-15 00:00:00,1751208611849.69,Amazon.Com Inc,XNAS,5961,RETAIL-CATALOG & MAIL-ORDER HOUSES,1525000,CS,10387381291
META,1 META WAY,MENLO PARK,94025,CA,1326801,BBG000MM2P62,usd,,"Meta is the world's largest online social network, with nearly 4 billion family of apps monthly active users. Users engage with each other in different ways, exchanging messages and sharing news events, photos, and videos. The firm's ecosystem consists mainly of the Facebook app, Instagram, Messenger, WhatsApp, and many features surrounding these products. Users can access Facebook on mobile devices and desktops. Advertising revenue represents more than 90% of the firm's total revenue, with more than 45% coming from the U.S. and Canada and over 20% from Europe.",https://about.meta.com,2012-05-18 00:00:00,1193198071761.18,"Meta Platforms, Inc. Class A Common Stock",XNAS,7370,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",67317,CS,2549405106
GOOGL,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,94043,CA,1652044,BBG009S39JX6,usd,,"Alphabet is a holding company. Internet media giant Google is a wholly owned subsidiary. Google generates 99% of Alphabet revenue, of which more than 85% is from online ads. Google's other revenue is from sales of apps and content on Google Play and YouTube, as well as cloud service fees and other licensing revenue. Sales of hardware such as Chromebooks, the Pixel smartphone, and smart home products, which include Nest and Google Home, also contribute to other revenue. Alphabet's moonshot investments are in its other bets segment, where it bets on technology to enhance health (Verily), provide faster internet access (Google Fiber), enable self-driving cars (Waymo), and more.",https://www.abc.xyz,2004-08-19 00:00:00,1772324150000.0002,Alphabet Inc. Class A Common Stock,XNAS,7370,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",182502,CS,12433000000
BRK.B,3555 FARNAM STREET,OMAHA,68131,NE,1067983,BBG000DWG505,usd,,"Berkshire Hathaway is a holding company with a wide array of subsidiaries engaged in diverse activities. The firm's core business segment is insurance, run primarily through Geico, Berkshire Hathaway Reinsurance Group, and Berkshire Hathaway Primary Group. Berkshire has used the excess cash thrown off from these and its other operations over the years to acquire Burlington Northern Santa Fe (railroad), Berkshire Hathaway Energy (utilities and energy distributors), and the firms that make up its manufacturing, service, and retailing operations (which include five of Berkshire's largest noninsurance pretax earnings generators: Precision Castparts, Lubrizol, Clayton Homes, Marmon, and IMC/ISCAR). The conglomerate is unique in that it is run on a completely decentralized basis.",https://www.berkshirehathaway.com,1996-05-09 00:00:00,886436590242,BERKSHIRE HATHAWAY Class B,XNYS,6331,"FIRE, MARINE & CASUALTY INSURANCE",383000,CS,2166002664
GOOG,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,94043,CA,1652044,BBG009S3NB30,usd,,"Alphabet is a holding company. Internet media giant Google is a wholly owned subsidiary. Google generates 99% of Alphabet revenue, of which more than 85% is from online ads. Google's other revenue is from sales of apps and content on Google Play and YouTube, as well as cloud service fees and other licensing revenue. Sales of hardware such as Chromebooks, the Pixel smartphone, and smart home products, which include Nest and Google Home, also contribute to other revenue. Alphabet's moonshot investments are in its other bets segment, where it bets on technology to enhance health (Verily), provide faster internet access (Google Fiber), enable self-driving cars (Waymo), and more.",https://www.abc.xyz,2004-08-19 00:00:00,1788362720000,Alphabet Inc. Class C Capital Stock,XNAS,7370,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",182502,CS,12433000000
LLY,LILLY CORPORATE CTR,INDIANAPOLIS,46285,IN,59478,BBG000BNBDC2,usd,,"Eli Lilly is a drug firm with a focus on neuroscience, cardiometabolic, cancer, and immunology. Lilly's key products include Verzenio for cancer; Mounjaro, Zepbound, Jardiance, Trulicity, Humalog, and Humulin for diabetes; and Taltz and Olumiant for immunology.",https://www.lilly.com,1970-07-09 00:00:00,708737166391.32,Eli Lilly & Co.,XNYS,2834,PHARMACEUTICAL PREPARATIONS,39000,CS,950164452
AVGO,3421 HILLVIEW AVENUE,PALO ALTO,94304,CA,1730168,BBG00KHY5S69,usd,,"Broadcom is the sixth-largest semiconductor company globally and has expanded into various software businesses, with over $30 billion in annual revenue. It sells 17 core semiconductor product lines across wireless, networking, broadband, storage, and industrial markets. It is primarily a fabless designer but holds some manufacturing in-house, like for its best-of-breed FBAR filters that sell into the Apple iPhone. In software, it sells virtualization, infrastructure, and security software to large enterprises, financial institutions, and governments.Broadcom is the product of consolidation. Its businesses are an amalgamation of former companies like legacy Broadcom and Avago Technologies in chips, as well as Brocade, CA Technologies, and Symantec in software.",https://www.broadcom.com,2009-08-06 00:00:00,574619141419.05,Broadcom Inc. Common Stock,XNAS,3674,SEMICONDUCTORS & RELATED DEVICES,20000,CS,468140569
TSLA,3500 DEER CREEK RD,PALO ALTO,94304,CA,1318605,BBG000N9MNX3,usd,,"Founded in 2003 and based in Palo Alto, California, Tesla is a vertically integrated sustainable energy company that also aims to transition the world to electric mobility by making electric vehicles. The company sells solar panels and solar roofs for energy generation plus batteries for stationary storage for residential and commercial properties including utilities. Tesla has multiple vehicles in its fleet, which include luxury and midsize sedans and crossover SUVs. The company also plans to begin selling more affordable sedans and small SUVs, a light truck, a semi truck, and a sports car. Global deliveries in 2023 were a little over 1.8 million vehicles.",https://www.tesla.com,2010-06-29 00:00:00,620301629129.55,"Tesla, Inc. Common Stock",XNAS,3711,MOTOR VEHICLES & PASSENGER CAR BODIES,140473,CS,3184790415
JPM,383 MADISON AVENUE,NEW YORK,10017,NY,19617,BBG000DMBXR2,usd,,"JPMorgan Chase is one of the largest and most complex financial institutions in the United States, with nearly $4 trillion in assets. It is organized into four major segments--consumer and community banking, corporate and investment banking, commercial banking, and asset and wealth management. JPMorgan operates, and is subject to regulation, in multiple countries.",https://www.jpmorganchase.com,1969-03-05 00:00:00,521059203988.2,JPMorgan Chase & Co.,XNYS,6021,NATIONAL COMMERCIAL BANKS,309926,CS,2880371498
UNH,UNITEDHEALTH GROUP CENTER,MINNEAPOLIS,55343,MN,731766,BBG000CH5208,usd,,"UnitedHealth Group is one of the largest private health insurers, providing medical benefits to about 53 million members globally, including 5 million outside the U.S. as of mid-2023. As a leader in employer-sponsored, self-directed, and government-backed insurance plans, UnitedHealth has obtained massive scale in managed care. Along with its insurance assets, UnitedHealth's continued investments in its Optum franchises have created a healthcare services colossus that spans everything from medical and pharmaceutical benefits to providing outpatient care and analytics to both affiliated and third-party customers.",https://www.unitedhealthgroup.com,1991-10-10 00:00:00,482783255187.21,UNITEDHEALTH GROUP INCORPORATED (Delaware),XNYS,6324,HOSPITAL & MEDICAL SERVICE PLANS,400000,CS,924925293
V,P.O. BOX 8999,SAN FRANCISCO,94128-8999,CA,1403161,BBG000PSKYX7,usd,,"Visa is the largest payment processor in the world. In fiscal 2022, it processed over $14 trillion in total volume. Visa operates in over 200 countries and processes transactions in over 160 currencies. Its systems are capable of processing over 65,000 transactions per second.",https://www.usa.visa.com,2008-03-19 00:00:00,560603554853.76,VISA Inc.,XNYS,7389,"SERVICES-BUSINESS SERVICES, NEC",28800,CS,2025594576
XOM,22777 SPRINGWOODS VILLAGE PARKWAY,SPRING,77389-1425,TX,34088,BBG000GZQ728,usd,,"ExxonMobil is an integrated oil and gas company that explores for, produces, and refines oil around the world. In 2022, it produced 2.4 million barrels of liquids and 8.3 billion cubic feet of natural gas per day. At the end of 2022, reserves were 17.7 billion barrels of oil equivalent, 65% of which were liquids. The company is the world's largest refiner with a total global refining capacity of 4.6 million barrels of oil per day and is one of the world's largest manufacturers of commodity and specialty chemicals.",https://www.exxonmobil.com,1920-03-25 00:00:00,416359350000,Exxon Mobil Corporation,XNYS,2911,PETROLEUM REFINING,62300,CS,3971000000
